"Date","Price","Open","High","Low","Change %"
"01/01/2018","1.465","1.393","1.478","1.235","5.32%"
"12/01/2017","1.391","1.266","1.470","1.258","9.61%"
"11/01/2017","1.269","1.144","1.328","1.144","9.97%"
"10/01/2017","1.154","1.057","1.174","1.034","9.18%"
"09/01/2017","1.057","1.001","1.146","0.996","5.28%"
"08/01/2017","1.004","1.078","1.167","0.986","-7.29%"
"07/01/2017","1.083","1.024","1.203","1.019","6.07%"
"06/01/2017","1.021","0.973","1.072","0.953","4.40%"
"05/01/2017","0.978","0.803","0.996","0.803","21.79%"
"04/01/2017","0.803","0.767","0.846","0.762","5.38%"
"03/01/2017","0.762","0.553","0.808","0.546","40.85%"
"02/01/2017","0.541","0.528","0.624","0.492","4.44%"
"01/01/2017","0.518","0.482","0.660","0.482","3.19%"
"12/01/2016","0.502","0.508","0.647","0.447","3.51%"
"11/01/2016","0.485","0.366","0.683","0.359","56.96%"
"10/01/2016","0.309","0.482","0.487","0.282","8.80%"
"09/01/2016","0.284","0.345","0.431","0.177","-13.94%"
"08/01/2016","0.330","0.276","0.416","0.251","27.41%"
"07/01/2016","0.259","0.266","0.382","0.233","-2.63%"
"06/01/2016","0.266","0.343","0.353","0.241","-11.92%"
"05/01/2016","0.302","0.206","0.402","0.193","47.32%"
"04/01/2016","0.205","0.214","0.295","0.196","-3.76%"
"03/01/2016","0.213","0.356","0.392","0.165","-34.06%"
"02/01/2016","0.323","0.323","0.377","0.272","2.54%"
"01/01/2016","0.315","0.181","0.338","0.168","76.97%"
"12/01/2015","0.178","0.224","0.305","0.150","-1.66%"
"11/01/2015","0.181","0.076","0.206","0.038","129.11%"
"10/01/2015","0.079","-0.002","0.081","-0.023","887.50%"
"09/01/2015","0.008","0.079","0.081","-0.015","-20.00%"
"08/01/2015","0.010","0.081","0.112","0.002","-84.38%"
"07/01/2015","0.064","0.020","0.086","-0.002","220.00%"
"06/01/2015","0.020","0.018","0.031","0.002","566.67%"
"05/01/2015","0.003","0.008","0.030","0.002","-40.00%"
"04/01/2015","0.005","0.056","0.056","0.002","-86.11%"
"03/01/2015","0.036","0.018","0.066","0.005","140.00%"
"02/01/2015","0.015","0.013","0.036","0.000","15.38%"
"01/01/2015","0.013","0.046","0.048","0.008","-68.29%"
"12/01/2014","0.041","0.015","0.056","0.002","215.38%"
"11/01/2014","0.013","0.010","0.041","0.002","62.50%"
"10/01/2014","0.008","0.018","0.036","0.005","-65.22%"
"09/01/2014","0.023","0.028","0.036","0.005","-8.00%"
"08/01/2014","0.025","0.025","0.041","0.015","0.00%"
"07/01/2014","0.025","0.041","0.056","0.010","-44.52%"
"06/01/2014","0.046","0.036","0.046","0.010","28.45%"
"05/01/2014","0.036","0.028","0.056","0.020","40.32%"
"04/01/2014","0.025","0.041","0.048","0.010","-44.52%"
"03/01/2014","0.046","0.051","0.066","0.036","-10.06%"
"02/01/2014","0.051","0.053","0.112","0.015","149.75%"
"01/01/2014","0.020","0.073","0.076","0.018","-72.38%"
"12/01/2013","0.073","0.061","0.091","0.041","20.89%"
"11/01/2013","0.061","0.041","0.094","0.036","60.00%"
"10/01/2013","0.038","0.030","0.172","0.013","150.00%"
"09/01/2013","0.015","0.030","0.036","0.002","-40.16%"
"08/01/2013","0.025","0.041","0.063","0.018","-33.16%"
"07/01/2013","0.038","0.041","0.073","0.010","7.04%"
"06/01/2013","0.036","0.048","0.066","0.033","-6.58%"
"05/01/2013","0.038","0.056","0.058","0.028","-25.05%"
"04/01/2013","0.051","0.079","0.094","0.048","-28.59%"
"03/01/2013","0.071","0.106","0.112","0.061","-33.33%"
"02/01/2013","0.106","0.068","0.132","0.058","35.50%"
"01/01/2013","0.079","0.046","0.089","0.036","72.37%"
"12/01/2012","0.046","0.081","0.106","0.008","-43.77%"
"11/01/2012","0.081","0.099","0.117","0.073","-28.92%"
"10/01/2012","0.114","0.086","0.132","0.086","21.64%"
"09/01/2012","0.094","0.091","0.119","0.086","2.74%"
"08/01/2012","0.091","0.096","0.119","0.079","-14.27%"
"07/01/2012","0.106","0.101","0.117","0.073","23.55%"
"06/01/2012","0.086","0.068","0.112","0.061","21.41%"
"05/01/2012","0.071","0.091","0.104","0.058","-26.50%"
"04/01/2012","0.097","0.079","0.097","0.066","35.67%"
"03/01/2012","0.071","0.084","0.338","0.061","-12.53%"
"02/01/2012","0.081","0.061","0.889","0.056","45.62%"
"01/01/2012","0.056","0.020","0.074","0.010","179.50%"
"12/01/2011","0.020","0.005","0.122","-0.010","150.00%"
"11/01/2011","0.008","0.015","0.030","0.002","-180.00%"
"10/01/2011","-0.010","0.023","0.051","-0.010","-140.00%"
"09/01/2011","0.025","0.015","0.036","0.002","66.67%"
"08/01/2011","0.015","0.097","0.112","-0.010","-84.85%"
"07/01/2011","0.099","0.020","0.102","0.003","395.00%"
"06/01/2011","0.020","0.053","0.066","0.003","-62.26%"
"05/01/2011","0.053","0.043","0.066","0.008","23.26%"
"04/01/2011","0.043","0.063","0.104","0.030","-54.26%"
"03/01/2011","0.094","0.140","0.155","0.066","-33.80%"
"02/01/2011","0.142","0.157","0.621","0.089","-6.58%"
"01/01/2011","0.152","0.124","0.162","0.124","19.69%"
"12/01/2010","0.127","0.167","0.203","0.101","-23.95%"
"11/01/2010","0.167","0.113","0.188","0.112","40.34%"
"10/01/2010","0.119","0.162","0.203","0.114","-26.54%"
"09/01/2010","0.162","0.147","0.172","0.129","14.08%"
"08/01/2010","0.142","0.152","0.172","0.137","-3.40%"
"07/01/2010","0.147","0.183","0.188","0.145","-16.95%"
