"Date","Price","Open","High","Low","Change %"
"08/01/2010","3.520","3.999","4.091","3.462","-11.81%"
"07/01/2010","3.991","3.899","4.138","3.826","2.47%"
"06/01/2010","3.894","4.216","4.320","3.889","-7.63%"
"05/01/2010","4.216","4.527","4.588","3.968","-6.74%"
"04/01/2010","4.521","4.721","4.858","4.520","-4.09%"
"03/01/2010","4.714","4.566","4.804","4.538","3.40%"
"02/01/2010","4.559","4.505","4.774","4.486","1.47%"
"01/01/2010","4.493","4.661","4.743","4.476","-3.06%"
"12/01/2009","4.635","4.200","4.734","4.190","10.46%"
"11/01/2009","4.196","4.248","4.479","4.159","-0.78%"
"10/01/2009","4.229","4.059","4.388","3.891","4.47%"
"09/01/2009","4.048","4.180","4.392","4.017","-3.18%"
"08/01/2009","4.181","4.327","4.718","4.163","-2.81%"
"07/01/2009","4.302","4.330","4.657","4.156","-0.67%"
"06/01/2009","4.331","4.365","4.842","4.265","-0.02%"
"05/01/2009","4.332","4.034","4.663","4.026","7.25%"
"04/01/2009","4.039","3.537","4.092","3.487","14.19%"
"03/01/2009","3.537","3.707","3.847","3.346","-4.61%"
"02/01/2009","3.708","3.605","3.764","3.406","2.77%"
"01/01/2009","3.608","2.685","3.635","2.620","34.63%"
"12/01/2008","2.680","3.491","3.491","2.514","-22.05%"
"11/01/2008","3.438","4.371","4.400","3.435","-21.36%"
"10/01/2008","4.372","4.231","4.398","3.882","1.32%"
"09/01/2008","4.315","4.425","4.477","3.896","-2.51%"
"08/01/2008","4.426","4.580","4.709","4.365","-3.26%"
"07/01/2008","4.575","4.518","4.719","4.405","1.15%"
"06/01/2008","4.523","4.718","4.814","4.495","-4.28%"
"05/01/2008","4.725","4.473","4.808","4.423","5.61%"
"04/01/2008","4.474","4.317","4.637","4.277","4.05%"
"03/01/2008","4.300","4.424","4.618","4.158","-2.49%"
"02/01/2008","4.410","4.341","4.721","4.276","1.99%"
"01/01/2008","4.324","4.462","4.489","4.100","-3.09%"
"12/01/2007","4.462","4.389","4.688","4.302","1.80%"
"11/01/2007","4.383","4.748","4.783","4.234","-7.63%"
"10/01/2007","4.745","4.835","4.930","4.625","-1.94%"
"09/01/2007","4.839","4.828","4.977","4.619","0.25%"
"08/01/2007","4.827","4.903","5.070","4.814","-1.41%"
"07/01/2007","4.896","5.129","5.293","4.896","-4.49%"
"06/01/2007","5.126","5.013","5.442","4.997","2.29%"
"05/01/2007","5.011","4.813","5.052","4.761","4.05%"
"04/01/2007","4.816","4.844","4.946","4.794","-0.54%"
"03/01/2007","4.842","4.678","4.857","4.593","3.24%"
"02/01/2007","4.690","4.916","4.948","4.574","-4.50%"
"01/01/2007","4.911","4.815","5.007","4.687","2.08%"
"12/01/2006","4.811","4.566","4.846","4.526","5.44%"
"11/01/2006","4.563","4.684","4.814","4.559","-3.29%"
"10/01/2006","4.718","4.767","4.976","4.712","-0.97%"
"09/01/2006","4.764","4.873","4.980","4.683","-2.36%"
"08/01/2006","4.879","5.070","5.126","4.878","-3.77%"
"07/01/2006","5.070","5.189","5.294","5.052","-2.29%"
"06/01/2006","5.189","5.223","5.290","4.997","-0.67%"
"05/01/2006","5.224","5.163","5.318","5.074","1.14%"
"04/01/2006","5.165","4.893","5.226","4.870","5.54%"
"03/01/2006","4.894","4.508","4.923","4.505","8.42%"
"02/01/2006","4.514","4.680","4.737","4.461","-3.63%"
"01/01/2006","4.684","4.684","4.684","4.684","3.15%"
"12/01/2005","4.541","4.541","4.541","4.541","-3.49%"
"11/01/2005","4.705","4.705","4.705","4.705","-0.99%"
"10/01/2005","4.752","4.752","4.752","4.752","3.96%"
"09/01/2005","4.571","4.571","4.571","4.571","7.35%"
"08/01/2005","4.258","4.258","4.258","4.258","-4.81%"
"07/01/2005","4.473","4.473","4.473","4.473","6.65%"
"06/01/2005","4.194","4.194","4.194","4.194","-2.98%"
"05/01/2005","4.323","4.323","4.323","4.323","-4.25%"
"04/01/2005","4.515","4.515","4.515","4.515","-5.15%"
"03/01/2005","4.760","4.760","4.760","4.760","0.83%"
"02/01/2005","4.721","4.721","4.721","4.721","2.90%"
"01/01/2005","4.588","4.588","4.588","4.588","-4.87%"
"12/01/2004","4.823","4.823","4.823","4.823","-2.74%"
"11/01/2004","4.959","4.959","4.959","4.959","3.55%"
"10/01/2004","4.789","4.789","4.789","4.789","-1.09%"
"09/01/2004","4.842","4.842","4.842","4.842","-1.51%"
"08/01/2004","4.916","4.916","4.916","4.916","-5.44%"
"07/01/2004","5.199","5.199","5.199","5.199","-1.72%"
"06/01/2004","5.290","5.290","5.290","5.290","-0.53%"
"05/01/2004","5.318","5.318","5.318","5.318","0.91%"
"04/01/2004","5.270","5.270","5.270","5.270","10.48%"
"03/01/2004","4.770","4.770","4.770","4.770","-1.47%"
"02/01/2004","4.841","4.841","4.841","4.841","-2.28%"
"01/01/2004","4.954","4.954","4.954","4.954","-2.33%"
"12/01/2003","5.072","5.072","5.072","5.072","0.20%"
"11/01/2003","5.062","5.062","5.062","5.062","-1.34%"
"10/01/2003","5.131","5.131","5.131","5.131","5.29%"
"09/01/2003","4.873","4.873","4.873","4.873","-6.65%"
"08/01/2003","5.220","5.220","5.220","5.220","-2.21%"
"07/01/2003","5.338","5.338","5.338","5.338","17.09%"
"06/01/2003","4.559","4.559","4.559","4.559","4.13%"
"05/01/2003","4.378","4.378","4.378","4.378","-8.51%"
"04/01/2003","4.785","4.785","4.785","4.785","-1.03%"
"03/01/2003","4.835","4.835","4.835","4.835","3.03%"
"02/01/2003","4.693","4.693","4.693","4.693","-3.04%"
"01/01/2003","4.840","4.840","4.840","4.840","1.21%"
"12/01/2002","4.782","4.782","4.782","4.782","-5.16%"
"11/01/2002","5.042","5.042","5.042","5.042","1.04%"
"10/01/2002","4.990","4.990","4.990","4.990","6.85%"
"09/01/2002","4.670","4.670","4.670","4.670","-5.24%"
"08/01/2002","4.928","4.928","4.928","4.928","-7.16%"
"07/01/2002","5.308","5.308","5.308","5.308","-3.74%"
"06/01/2002","5.514","5.514","5.514","5.514","-1.83%"
"05/01/2002","5.617","5.617","5.617","5.617","0.38%"
"04/01/2002","5.596","5.596","5.596","5.596","-3.53%"
"03/01/2002","5.801","5.801","5.801","5.801","7.05%"
"02/01/2002","5.419","5.419","5.419","5.419","-0.35%"
"01/01/2002","5.438","5.438","5.438","5.438","-0.57%"
"12/01/2001","5.469","5.469","5.469","5.469","3.46%"
"11/01/2001","5.286","5.286","5.286","5.286","8.50%"
"10/01/2001","4.872","4.872","4.872","4.872","-10.14%"
"09/01/2001","5.422","5.422","5.422","5.422","0.95%"
"08/01/2001","5.371","5.371","5.371","5.371","-2.80%"
"07/01/2001","5.526","5.526","5.526","5.526","-4.08%"
"06/01/2001","5.761","5.761","5.761","5.761","0.09%"
"05/01/2001","5.756","5.756","5.756","5.756","-0.52%"
"04/01/2001","5.786","5.786","5.786","5.786","6.26%"
"03/01/2001","5.445","5.445","5.445","5.445","2.45%"
"02/01/2001","5.315","5.315","5.315","5.315","-3.43%"
"01/01/2001","5.504","5.504","5.504","5.504","0.88%"
