"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2015","1,435.1","1,457.3","1,472.1","1,405.8","","-1.19%"
"01-12-2014","1,452.4","1,440.9","1,478.2","1,383.5","","0.68%"
"01-11-2014","1,442.6","1,419.3","1,458.8","1,409.7","","1.69%"
"01-10-2014","1,418.7","1,370.4","1,419.4","1,269.4","","3.48%"
"01-09-2014","1,371.0","1,438.6","1,447.7","1,370.9","","-4.67%"
"01-08-2014","1,438.2","1,369.3","1,438.6","1,356.2","","4.92%"
"01-07-2014","1,370.7","1,435.2","1,452.0","1,370.6","","-4.34%"
"01-06-2014","1,432.9","1,378.9","1,433.2","1,370.4","","3.99%"
"01-05-2014","1,378.0","1,357.1","1,382.2","1,331.2","","1.62%"
"01-04-2014","1,356.0","1,379.5","1,398.9","1,311.2","","-1.64%"
"01-03-2014","1,378.5","1,372.8","1,393.6","1,346.5","","0.23%"
"01-02-2014","1,375.3","1,312.6","1,382.6","1,264.6","","4.74%"
"01-01-2014","1,313.1","1,340.0","1,360.0","1,295.0","","-2.19%"
"01-12-2013","1,342.5","1,304.1","1,344.1","1,281.7","","2.94%"
"01-11-2013","1,304.2","1,290.7","1,314.0","1,267.6","","1.16%"
"01-10-2013","1,289.2","1,244.6","1,302.4","1,216.8","","3.64%"
"01-09-2013","1,243.8","1,188.8","1,260.8","1,170.6","","5.07%"
"01-08-2013","1,183.9","1,237.1","1,261.2","1,181.9","","-3.90%"
"01-07-2013","1,231.9","1,163.3","1,243.0","1,163.3","","6.12%"
"01-06-2013","1,160.8","1,185.4","1,190.5","1,114.0","","-1.98%"
"01-05-2013","1,184.3","1,159.9","1,223.4","1,138.5","","2.09%"
"01-04-2013","1,160.0","1,153.7","1,160.0","1,101.0","","0.55%"
"01-03-2013","1,153.7","1,102.6","1,154.7","1,086.0","","4.63%"
"01-02-2013","1,102.6","1,093.4","1,123.7","1,078.7","","0.85%"
"01-01-2013","1,093.4","1,020.4","1,097.4","1,020.4","","7.15%"
"01-12-2012","1,020.4","1,000.2","1,030.2","991.9","","2.03%"
"01-11-2012","1,000.2","980.4","1,005.6","940.9","","2.01%"
"01-10-2012","980.5","989.1","1,004.9","967.4","","-0.87%"
"01-09-2012","989.0","971.5","1,030.0","965.3","","1.80%"
"01-08-2012","971.5","940.5","983.5","919.8","","3.30%"
"01-07-2012","940.5","941.6","962.0","909.4","","-0.12%"
"01-06-2012","941.6","924.6","942.1","882.0","","1.73%"
"01-05-2012","925.6","991.3","1,006.1","903.6","","-6.63%"
"01-04-2012","991.3","994.3","1,004.9","947.7","","-0.30%"
"01-03-2012","994.3","977.5","1,008.7","952.4","","1.73%"
"01-02-2012","977.4","936.7","990.0","936.7","","4.36%"
"01-01-2012","936.5","879.7","949.6","872.8","","6.52%"
"01-12-2011","879.2","883.8","901.5","838.3","","-0.52%"
"01-11-2011","883.8","887.9","908.0","812.4","","-0.47%"
"01-10-2011","887.9","781.3","920.2","731.6","","13.65%"
"01-09-2011","781.3","875.0","883.8","774.0","","-10.71%"
"01-08-2011","875.0","943.4","954.3","770.6","","-7.25%"
"01-07-2011","943.4","978.7","1,013.3","928.5","","-3.60%"
"01-06-2011","978.6","1,000.2","1,000.5","922.5","","-2.16%"
"01-05-2011","1,000.3","1,015.2","1,018.7","964.8","","-1.48%"
"01-04-2011","1,015.3","989.0","1,016.5","958.5","","2.65%"
"01-03-2011","989.0","966.6","989.6","921.7","","2.32%"
"01-02-2011","966.6","924.8","983.8","924.8","","4.52%"
"01-01-2011","924.8","907.2","939.6","900.8","","1.93%"
"01-12-2010","907.3","852.5","916.2","852.5","","6.41%"
"01-11-2010","852.6","829.1","864.0","823.5","","2.83%"
"01-10-2010","829.1","802.0","836.8","791.0","","3.37%"
"01-09-2010","802.1","721.6","811.7","721.6","","11.15%"
"01-08-2010","721.6","760.3","780.1","709.2","","-5.08%"
"01-07-2010","760.3","711.7","783.0","692.8","","6.82%"
"01-06-2010","711.7","762.8","785.0","710.7","","-6.69%"
"01-05-2010","762.8","822.9","836.5","714.7","","-7.33%"
"01-04-2010","823.1","789.9","852.9","789.9","","4.20%"
"01-03-2010","789.9","738.3","800.7","738.3","","6.98%"
"01-02-2010","738.4","702.8","742.6","681.9","","5.06%"
"01-01-2010","702.8","726.7","755.9","702.3","","-3.28%"
"01-12-2009","726.7","684.7","743.2","684.7","","6.12%"
"01-11-2009","684.8","659.1","713.7","651.8","","3.89%"
"01-10-2009","659.2","691.0","717.8","657.1","","-4.61%"
"01-09-2009","691.0","654.5","710.2","633.4","","5.57%"
"01-08-2009","654.5","628.0","669.4","626.9","","4.22%"
"01-07-2009","628.0","578.1","633.3","539.0","","8.63%"
"01-06-2009","578.1","575.5","604.3","551.1","","0.46%"
"01-05-2009","575.5","561.1","589.9","540.9","","2.56%"
"01-04-2009","561.1","489.0","574.3","476.4","","14.75%"
"01-03-2009","489.0","449.4","511.4","398.0","","8.80%"
"01-02-2009","449.4","498.7","534.3","443.6","","-9.87%"
"01-01-2009","498.7","538.3","563.9","483.0","","-7.36%"
"01-12-2008","538.3","514.6","541.3","457.8","","4.61%"
"01-11-2008","514.6","568.5","583.5","406.5","","-9.49%"
"01-10-2008","568.5","727.3","727.3","473.2","","-21.83%"
"01-09-2008","727.3","815.6","826.9","694.1","","-10.83%"
"01-08-2008","815.6","803.0","828.1","785.0","","1.57%"
"01-07-2008","803.0","819.0","825.1","759.1","","-1.95%"
"01-06-2008","819.0","882.0","897.4","818.8","","-7.14%"
"01-05-2008","882.0","838.8","890.8","835.6","","5.14%"
"01-04-2008","838.8","779.5","849.4","779.5","","7.61%"
"01-03-2008","779.5","788.5","797.3","737.6","","-1.14%"
"01-02-2008","788.5","804.6","829.9","777.5","","-2.00%"
"01-01-2008","804.6","858.2","859.4","731.3","","-6.24%"
"01-12-2007","858.2","860.7","895.0","834.8","","-0.30%"
"01-11-2007","860.7","907.7","907.7","820.1","","-5.17%"
"01-10-2007","907.7","885.1","924.1","869.5","","2.56%"
"01-09-2007","885.1","863.0","895.2","838.8","","2.56%"
"01-08-2007","863.0","856.3","878.2","797.3","","0.78%"
"01-07-2007","856.3","895.5","926.7","854.0","","-4.38%"
"01-06-2007","895.5","916.3","925.9","881.3","","-2.27%"
"01-05-2007","916.3","873.7","918.4","867.4","","4.88%"
"01-04-2007","873.7","848.5","890.9","847.6","","2.97%"
"01-03-2007","848.5","838.1","857.2","809.0","","1.24%"
"01-02-2007","838.1","833.0","870.9","831.3","","0.61%"
"01-01-2007","833.0","804.4","834.8","796.6","","3.56%"
"01-12-2006","804.4","809.2","822.0","800.3","","-0.60%"
"01-11-2006","809.2","785.0","812.8","769.7","","3.08%"
"01-10-2006","785.0","754.3","796.5","744.1","","4.08%"
"01-09-2006","754.3","750.0","762.4","731.5","","0.57%"
"01-08-2006","750.0","742.5","756.3","721.3","","1.00%"
"01-07-2006","742.5","764.9","770.4","710.5","","-2.92%"
"01-06-2006","764.9","765.6","783.0","713.1","","-0.09%"
"01-05-2006","765.6","802.7","818.9","740.2","","-4.63%"
"01-04-2006","802.7","792.1","813.3","779.1","","1.34%"
"01-03-2006","792.1","773.6","795.5","756.0","","2.39%"
"01-02-2006","773.6","781.0","784.5","755.9","","-0.95%"
"01-01-2006","781.0","738.0","781.7","732.6","","5.82%"
"01-12-2005","738.0","733.7","752.0","732.0","","0.60%"
"01-11-2005","733.7","700.4","744.4","695.2","","4.75%"
"01-10-2005","700.4","716.3","722.0","665.2","","-2.23%"
"01-09-2005","716.3","711.5","722.0","691.2","","0.68%"
"01-08-2005","711.5","720.4","725.0","694.9","","-1.23%"
"01-07-2005","720.4","684.9","723.7","684.9","","5.17%"
"01-06-2005","684.9","670.0","695.9","669.8","","2.22%"
"01-05-2005","670.0","632.8","672.4","629.4","","5.89%"
"01-04-2005","632.8","658.9","664.7","623.6","","-3.96%"
"01-03-2005","658.9","666.8","683.4","647.7","","-1.20%"
"01-02-2005","666.8","646.0","670.8","645.7","","3.23%"
"01-01-2005","646.0","663.3","664.8","629.3","","-2.61%"
"01-12-2004","663.3","637.3","667.0","633.0","","4.09%"
"01-11-2004","637.3","602.2","643.1","600.1","","5.82%"
"01-10-2004","602.2","593.2","607.7","580.7","","1.52%"
"01-09-2004","593.2","576.6","594.8","576.2","","2.88%"
"01-08-2004","576.6","578.9","579.8","548.3","","-0.39%"
"01-07-2004","578.9","607.7","607.7","563.9","","-4.74%"
"01-06-2004","607.7","594.7","607.7","586.8","","2.18%"
"01-05-2004","594.7","583.3","594.8","557.4","","1.96%"
"01-04-2004","583.3","603.6","616.9","582.3","","-3.36%"
"01-03-2004","603.6","601.5","618.5","577.7","","0.34%"
"01-02-2004","601.5","588.1","609.8","580.9","","2.29%"
"01-01-2004","588.1","576.0","603.5","574.6","","2.09%"
"01-12-2003","576.0","567.0","581.9","553.0","","1.59%"
"01-11-2003","567.0","548.5","568.0","545.3","","3.37%"
"01-10-2003","548.5","510.4","551.1","510.4","","7.46%"
"01-09-2003","510.4","518.8","532.0","508.0","","-1.61%"
"01-08-2003","518.8","496.8","519.0","477.9","","4.41%"
