"Date","Price","Open","High","Low","Vol.","Change %"
"01-09-2020","1,507.69","1,561.10","1,595.04","1,432.57","","-3.47%"
"01-08-2020","1,561.88","1,485.49","1,603.60","1,483.37","","5.50%"
"01-07-2020","1,480.43","1,443.29","1,507.24","1,384.10","","2.71%"
"01-06-2020","1,441.37","1,396.29","1,537.62","1,343.60","","3.40%"
"01-05-2020","1,394.04","1,280.58","1,450.37","1,181.09","","6.36%"
"01-04-2020","1,310.66","1,127.73","1,373.39","1,035.39","","13.66%"
"01-03-2020","1,153.10","1,476.59","1,539.74","966.22","","-21.90%"
"01-02-2020","1,476.43","1,618.80","1,698.91","1,448.21","","-8.53%"
"01-01-2020","1,614.06","1,675.90","1,715.08","1,610.64","","-3.26%"
"01-12-2019","1,668.47","1,626.56","1,681.68","1,589.73","","2.71%"
"01-11-2019","1,624.50","1,569.20","1,634.77","1,569.20","","3.97%"
"01-10-2019","1,562.45","1,523.85","1,581.13","1,462.22","","2.57%"
"01-09-2019","1,523.37","1,494.03","1,590.50","1,467.47","","1.91%"
"01-08-2019","1,494.84","1,574.93","1,587.81","1,450.32","","-5.07%"
"01-07-2019","1,574.60","1,574.65","1,599.40","1,543.56","","0.51%"
"01-06-2019","1,566.57","1,465.88","1,570.74","1,460.49","","6.90%"
"01-05-2019","1,465.49","1,593.48","1,618.37","1,461.47","","-7.90%"
"01-04-2019","1,591.21","1,542.89","1,603.08","1,542.89","","3.34%"
"01-03-2019","1,539.74","1,577.50","1,594.24","1,494.99","","-2.27%"
"01-02-2019","1,575.55","1,499.53","1,602.10","1,494.37","","5.08%"
"01-01-2019","1,499.42","1,346.11","1,500.74","1,325.18","","11.19%"
"01-12-2018","1,348.56","1,536.33","1,553.34","1,266.92","","-12.05%"
"01-11-2018","1,533.27","1,512.68","1,586.17","1,465.25","","1.45%"
"01-10-2018","1,511.41","1,697.83","1,703.81","1,459.16","","-10.91%"
"01-09-2018","1,696.57","1,740.80","1,740.80","1,686.99","","-2.54%"
"01-08-2018","1,740.75","1,670.87","1,742.09","1,657.54","","4.19%"
"01-07-2018","1,670.80","1,641.73","1,708.56","1,631.06","","1.69%"
"01-06-2018","1,643.07","1,635.40","1,708.10","1,630.06","","0.58%"
"01-05-2018","1,633.61","1,541.77","1,651.11","1,527.71","","5.95%"
"01-04-2018","1,541.88","1,529.14","1,592.04","1,482.90","","0.81%"
